service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JUN25-MVS-BUS-Holiday-01,0,0,0,0,1,0,0,20250704,20250704
JUN25-MVS-BUS-Saturday-01,0,0,0,0,0,1,0,20250614,20250628
JUN25-MVS-BUS-Sunday-01,0,0,0,0,0,0,1,20250615,20250629
JUN25-MVS-BUS-Weekday-01,1,1,1,1,1,0,0,20250616,20250703
JUN25-MVS-MTS-Holiday-01,0,0,0,0,1,0,0,20250704,20250704
JUN25-MVS-MTS-Saturday-01,0,0,0,0,0,1,0,20250614,20250628
JUN25-MVS-MTS-Sunday-01,0,0,0,0,0,0,1,20250615,20250629
JUN25-MVS-MTS-Weekday-01,1,1,1,1,1,0,0,20250616,20250703
JUN25-MVS-NS-Saturday-03,0,0,0,0,0,1,0,20250621,20250621
JUN25-MVS-NS-Sunday-04,0,0,0,0,0,0,1,20250622,20250622
JUN25-MVS-NS-Weekday-01,1,1,1,1,1,0,0,20250616,20250703
JUN25-MVS-SUB-Saturday-01,0,0,0,0,0,1,0,20250614,20250628
JUN25-MVS-SUB-Sunday-01,0,0,0,0,0,0,1,20250615,20250629
JUN25-MVS-SUB-Weekday-01,1,1,1,1,1,0,0,20250616,20250703
JUN25-MVS-SUB-Weekday-02,0,0,0,1,0,0,0,20250619,20250619
JUN25-MVS-UM-Weekday-03,1,1,1,1,1,0,0,20250616,20250703
JUN25-RAIL-Holiday-01,0,0,0,0,1,0,0,20250704,20250704
JUN25-RAIL-Saturday-01,0,0,0,0,0,1,0,20250614,20250628
JUN25-RAIL-Sunday-01,0,0,0,0,0,0,1,20250615,20250629
JUN25-RAIL-Weekday-01,1,1,1,1,1,0,0,20250616,20250703
MAR25-MVS-BUS-Holiday-01,1,0,0,0,0,0,0,20250526,20250526
MAR25-MVS-BUS-Saturday-01,0,0,0,0,0,1,0,20250517,20250607
MAR25-MVS-BUS-Saturday-03,0,0,0,0,0,1,0,20250531,20250531
MAR25-MVS-BUS-Sunday-01,0,0,0,0,0,0,1,20250518,20250608
MAR25-MVS-BUS-Sunday-03,0,0,0,0,0,0,1,20250601,20250601
MAR25-MVS-BUS-Weekday-14,0,0,1,1,1,0,0,20250611,20250613
MAR25-MVS-BUS-Weekday-15,1,1,0,0,0,0,0,20250609,20250610
MAR25-MVS-BUS-Weekday-17,1,1,1,1,1,0,0,20250519,20250606
MAR25-MVS-BUS-Weekday-20,0,0,0,0,1,0,0,20250530,20250530
MAR25-MVS-MTS-Holiday-01,1,0,0,0,0,0,0,20250526,20250526
MAR25-MVS-MTS-Saturday-01,0,0,0,0,0,1,0,20250517,20250607
MAR25-MVS-MTS-Sunday-01,0,0,0,0,0,0,1,20250518,20250608
MAR25-MVS-MTS-Weekday-01,1,1,1,1,1,0,0,20250519,20250613
MAR25-MVS-NS-Saturday-01,0,0,0,0,0,1,0,20250524,20250607
MAR25-MVS-NS-Sunday-04,0,0,0,0,0,0,1,20250525,20250608
MAR25-MVS-NS-Weekday-01,1,1,1,1,1,0,0,20250519,20250613
MAR25-MVS-NS-Weekday-03,0,0,1,1,0,0,0,20250521,20250612
MAR25-MVS-SUB-Saturday-01,0,0,0,0,0,1,0,20250517,20250607
MAR25-MVS-SUB-Sunday-01,0,0,0,0,0,0,1,20250518,20250608
MAR25-MVS-SUB-Weekday-01,1,1,1,1,1,0,0,20250519,20250613
MAR25-MVS-UM-Weekday-02,1,1,1,1,1,0,0,20250519,20250606
MAR25-MVS-UM-Weekday-03,1,1,1,1,1,0,0,20250609,20250613
MAR25-RAIL-Holiday-01,1,0,0,0,0,0,0,20250526,20250526
MAR25-RAIL-Saturday-01,0,0,0,0,0,1,0,20250517,20250607
MAR25-RAIL-Saturday-30,0,0,0,0,0,1,0,20250531,20250531
MAR25-RAIL-Sunday-01,0,0,0,0,0,0,1,20250518,20250608
MAR25-RAIL-Sunday-30,0,0,0,0,0,0,1,20250601,20250601
MAR25-RAIL-Weekday-01,1,1,1,1,1,0,0,20250519,20250613
MAR25-RAIL-Weekday-30,0,0,0,0,1,0,0,20250530,20250530
